,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2032,0.895,0.439,5,-12.142,0,0.319,0.199,0.0,0.0683,0.633,109.988,audio_features,2WxUIiq06XXPYWl9YcRJnD,spotify:track:2WxUIiq06XXPYWl9YcRJnD,https://api.spotify.com/v1/tracks/2WxUIiq06XXPYWl9YcRJnD,https://api.spotify.com/v1/audio-analysis/2WxUIiq06XXPYWl9YcRJnD,98413,4
2033,0.715,0.739,6,-3.779,0,0.041,0.578,0.0,0.0887,0.963,101.611,audio_features,1hHnCReCPe1FUkGLTeuCaC,spotify:track:1hHnCReCPe1FUkGLTeuCaC,https://api.spotify.com/v1/tracks/1hHnCReCPe1FUkGLTeuCaC,https://api.spotify.com/v1/audio-analysis/1hHnCReCPe1FUkGLTeuCaC,140984,3
2034,0.315,0.418,7,-9.146,1,0.0299,0.131,0.000679,0.0836,0.237,129.116,audio_features,4fzyvSu73BhGvi96p2zwjL,spotify:track:4fzyvSu73BhGvi96p2zwjL,https://api.spotify.com/v1/tracks/4fzyvSu73BhGvi96p2zwjL,https://api.spotify.com/v1/audio-analysis/4fzyvSu73BhGvi96p2zwjL,242496,4
2035,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,audio_features,3CIyK1V4JEJkg02E4EJnDl,spotify:track:3CIyK1V4JEJkg02E4EJnDl,https://api.spotify.com/v1/tracks/3CIyK1V4JEJkg02E4EJnDl,https://api.spotify.com/v1/audio-analysis/3CIyK1V4JEJkg02E4EJnDl,173381,4
2036,0.476,0.736,2,-5.38,1,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,audio_features,40LQiUUUKXVGyNs09lHVjW,spotify:track:40LQiUUUKXVGyNs09lHVjW,https://api.spotify.com/v1/tracks/40LQiUUUKXVGyNs09lHVjW,https://api.spotify.com/v1/audio-analysis/40LQiUUUKXVGyNs09lHVjW,261853,4
2037,0.592,0.263,4,-14.029,0,0.0568,0.845,5.68e-06,0.127,0.109,76.366,audio_features,3B3eOgLJSqPEA0RfboIQVM,spotify:track:3B3eOgLJSqPEA0RfboIQVM,https://api.spotify.com/v1/tracks/3B3eOgLJSqPEA0RfboIQVM,https://api.spotify.com/v1/audio-analysis/3B3eOgLJSqPEA0RfboIQVM,238520,4
2038,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,audio_features,58q2HKrzhC3ozto2nDdN4z,spotify:track:58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,253390,4
2039,0.686,0.561,10,-9.929,0,0.191,0.185,0.0,0.114,0.186,148.775,audio_features,4guBZjUyrGoHsTahO3IHdj,spotify:track:4guBZjUyrGoHsTahO3IHdj,https://api.spotify.com/v1/tracks/4guBZjUyrGoHsTahO3IHdj,https://api.spotify.com/v1/audio-analysis/4guBZjUyrGoHsTahO3IHdj,116240,4
2040,0.721,0.496,8,-6.296,1,0.0645,0.14,0.000101,0.102,0.18,81.499,audio_features,2VKHWIONh47ntN7wyoSxEQ,spotify:track:2VKHWIONh47ntN7wyoSxEQ,https://api.spotify.com/v1/tracks/2VKHWIONh47ntN7wyoSxEQ,https://api.spotify.com/v1/audio-analysis/2VKHWIONh47ntN7wyoSxEQ,91288,4
2041,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,audio_features,4Hhv2vrOTy89HFRcjU3QOx,spotify:track:4Hhv2vrOTy89HFRcjU3QOx,https://api.spotify.com/v1/tracks/4Hhv2vrOTy89HFRcjU3QOx,https://api.spotify.com/v1/audio-analysis/4Hhv2vrOTy89HFRcjU3QOx,179693,3
2042,0.928,0.481,9,-9.35,0,0.287,0.105,0.0,0.176,0.613,134.007,audio_features,343YBumqHu19cGoGARUTsd,spotify:track:343YBumqHu19cGoGARUTsd,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd,210937,4
2043,0.512,0.598,9,-4.959,0,0.115,0.611,0.0,0.0881,0.345,70.189,audio_features,3MAgQuClHcAV8E9CbeBS6f,spotify:track:3MAgQuClHcAV8E9CbeBS6f,https://api.spotify.com/v1/tracks/3MAgQuClHcAV8E9CbeBS6f,https://api.spotify.com/v1/audio-analysis/3MAgQuClHcAV8E9CbeBS6f,213253,4
2044,0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,audio_features,0vjeOZ3Ft5jvAi9SBFJm1j,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/tracks/0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/audio-analysis/0vjeOZ3Ft5jvAi9SBFJm1j,182667,4
2045,0.561,0.782,3,-7.444,1,0.0317,0.022,0.0,0.109,0.704,127.148,audio_features,3PIDciSFdrQxSQSihim3hN,spotify:track:3PIDciSFdrQxSQSihim3hN,https://api.spotify.com/v1/tracks/3PIDciSFdrQxSQSihim3hN,https://api.spotify.com/v1/audio-analysis/3PIDciSFdrQxSQSihim3hN,153240,4
2046,0.486,0.64,3,-8.027,1,0.0551,0.136,7.58e-05,0.105,0.289,122.017,audio_features,4oEf84vBYVftf6KmZexhVo,spotify:track:4oEf84vBYVftf6KmZexhVo,https://api.spotify.com/v1/tracks/4oEf84vBYVftf6KmZexhVo,https://api.spotify.com/v1/audio-analysis/4oEf84vBYVftf6KmZexhVo,267256,4
2047,0.485,0.409,9,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,audio_features,3hxIUxnT27p5WcmjGUXNwx,spotify:track:3hxIUxnT27p5WcmjGUXNwx,https://api.spotify.com/v1/tracks/3hxIUxnT27p5WcmjGUXNwx,https://api.spotify.com/v1/audio-analysis/3hxIUxnT27p5WcmjGUXNwx,164571,4
2048,0.643,0.939,5,-3.967,1,0.0463,0.104,0.0,0.881,0.756,104.999,audio_features,4v9WbaxW8HdjqfUiWYWsII,spotify:track:4v9WbaxW8HdjqfUiWYWsII,https://api.spotify.com/v1/tracks/4v9WbaxW8HdjqfUiWYWsII,https://api.spotify.com/v1/audio-analysis/4v9WbaxW8HdjqfUiWYWsII,255307,4
2049,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,audio_features,7fBv7CLKzipRk6EC6TWHOB,spotify:track:7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/tracks/7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/audio-analysis/7fBv7CLKzipRk6EC6TWHOB,242253,4
2050,0.528,0.281,2,-9.784,1,0.037,0.839,0.0,0.0873,0.514,127.617,audio_features,1LmkdWSxjCV7wKTPsCvYWN,spotify:track:1LmkdWSxjCV7wKTPsCvYWN,https://api.spotify.com/v1/tracks/1LmkdWSxjCV7wKTPsCvYWN,https://api.spotify.com/v1/audio-analysis/1LmkdWSxjCV7wKTPsCvYWN,132800,4
2051,0.353,0.77,1,-11.066,0,0.0493,0.0016,0.598,0.109,0.224,145.225,audio_features,7MSWxMumjz6lHj7oRApNbg,spotify:track:7MSWxMumjz6lHj7oRApNbg,https://api.spotify.com/v1/tracks/7MSWxMumjz6lHj7oRApNbg,https://api.spotify.com/v1/audio-analysis/7MSWxMumjz6lHj7oRApNbg,267893,4
2052,0.429,0.371,2,-9.017,0,0.0327,0.546,5.71e-06,0.104,0.135,137.134,audio_features,3a3dQOO19moXPeTt2PomoT,spotify:track:3a3dQOO19moXPeTt2PomoT,https://api.spotify.com/v1/tracks/3a3dQOO19moXPeTt2PomoT,https://api.spotify.com/v1/audio-analysis/3a3dQOO19moXPeTt2PomoT,238242,4
2053,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,audio_features,3w3y8KPTfNeOKPiqUTakBh,spotify:track:3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/tracks/3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/audio-analysis/3w3y8KPTfNeOKPiqUTakBh,233478,4
2054,0.49,0.352,6,-11.577,0,0.0254,0.709,0.0856,0.114,0.166,99.992,audio_features,6GGtHZgBycCgGBUhZo81xe,spotify:track:6GGtHZgBycCgGBUhZo81xe,https://api.spotify.com/v1/tracks/6GGtHZgBycCgGBUhZo81xe,https://api.spotify.com/v1/audio-analysis/6GGtHZgBycCgGBUhZo81xe,209156,4
2055,0.495,0.896,11,-2.381,1,0.0331,0.005,0.0,0.353,0.462,146.04,audio_features,2O3MQ6H3gjrIWDcpeTrikT,spotify:track:2O3MQ6H3gjrIWDcpeTrikT,https://api.spotify.com/v1/tracks/2O3MQ6H3gjrIWDcpeTrikT,https://api.spotify.com/v1/audio-analysis/2O3MQ6H3gjrIWDcpeTrikT,242645,4
