,popularity,song_name,artist_name
274,91,Romantic Homicide,d4vd
275,91,No Role Modelz,J. Cole
276,89,One Dance,Drake
277,83,Buy Dirt,Jordan Davis
278,89,Jimmy Cooks (feat. 21 Savage),Drake
279,88,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift
280,81,Please Don't Go,Wyatt Flores
281,86,Wasted On You,Morgan Wallen
282,81,Cigarette Daydreams,Cage The Elephant
283,89,Too Many Nights (feat. Don Toliver & with Future),Metro Boomin
284,86,WAIT FOR U (feat. Drake & Tems),Future
285,86,Love Me,Lil Wayne
286,86,Lucid Dreams,Juice WRLD
287,84,SLOW DANCING IN THE DARK,Joji
288,84,Bite Me,ENHYPEN
289,81,Mr. Blue Sky,Electric Light Orchestra
290,77,Man in the Box,Alice In Chains
291,79,Private Landing (feat. Justin Bieber & Future),Don Toliver
292,84,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John
293,83,Used To Be Young,Miley Cyrus
294,8,Christmas Blues,The Weeknd
295,79,Not You Too (feat. Chris Brown),Drake
296,75,Bye Bye Bye,*NSYNC
297,76,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins
298,75,Bahm Bahm,Nicki Minaj
299,83,Bruises,Lewis Capaldi
300,82,You’re Gonna Go Far,Noah Kahan
301,82,Budapest,George Ezra
302,81,Best Day Of My Life,American Authors
303,84,I Like Me Better,Lauv
304,78,Brown Sleep Noise,Sleep Miracle
305,85,Uptown Funk (feat. Bruno Mars),Mark Ronson
306,78,One Last Breath,Creed
307,76,Bandit (with YoungBoy Never Broke Again),Juice WRLD
308,81,Boyfriend,Dove Cameron
309,76,Tried Our Best,Drake
310,78,Need It (feat. YoungBoy Never Broke Again),Migos
311,76,Buddy Holly,Weezer
312,78,Best Time,Brent Faiyaz
313,75,Body Like A Back Road,Sam Hunt
314,78,BLEED,The Kid LAROI
315,77,Blondie,Current Joys
316,73,By and By,Caamp
317,74,This Bar,Morgan Wallen
318,81,Power Trip (feat. Miguel),J. Cole
319,81,Bleed It Out,Linkin Park
320,86,TV,Billie Eilish
321,75,Better Together,Luke Combs
322,84,You Give Love A Bad Name,Bon Jovi
323,85,All The Small Things,blink-182
324,78,Fell In Luv (feat. Bryson Tiller),Playboi Carti
325,73,We Belong Together,Mariah Carey
326,87,Automotivo Bibi Fogosa,Bibi Babydoll
327,83,Billie Jean,Michael Jackson
328,79,Death By A Thousand Cuts,Taylor Swift
329,84,MR. OCTOBER,Bad Bunny
330,83,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin
331,80,BATICANO,Bad Bunny
332,89,FE!N (feat. Playboi Carti),Travis Scott
333,85,Talking to the Moon,Bruno Mars
334,80,Low Down,Lil Baby
335,83,Me Gustas Tu,Manu Chao
336,82,Santa Baby,Ariana Grande
337,85,Bad Romance,Lady Gaga
338,78,Let's Groove,"Earth, Wind & Fire"
339,71,Genesis,$uicideboy$
340,71,Glory Days,Gabby Barrett
341,78,I'd Rather Go Blind,Etta James
342,74,Wus Good / Curious,PARTYNEXTDOOR
343,73,What Am I Gonna Do,Chris Stapleton
344,74,I Get the Bag (feat. Migos),Gucci Mane
345,82,Girls Just Want to Have Fun,Cyndi Lauper
346,75,The Sweet Escape,Gwen Stefani
347,77,Life Is Good (feat. Drake),Future
348,75,Sarah,Alex G
349,79,i wanna be your girlfriend,girl in red
350,75,Just A Girl,No Doubt
351,73,Video Games,Lana Del Rey
352,90,Seven (feat. Latto) (Explicit Ver.),Jung Kook
353,79,Sad Girl,Lana Del Rey
354,81,Should I Stay or Should I Go - Remastered,The Clash
355,58,One Of The Girls - A Cappella,The Weeknd
356,78,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld
357,76,When I Grow Up,NF
358,73,Hot (feat. Gunna),Young Thug
