danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres,popularity,song_name,artist_name,genius_id,release_date
0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,audio_features,4tqcoej1zPvwePZCzuAjJd,spotify:track:4tqcoej1zPvwePZCzuAjJd,https://api.spotify.com/v1/tracks/4tqcoej1zPvwePZCzuAjJd,https://api.spotify.com/v1/audio-analysis/4tqcoej1zPvwePZCzuAjJd,239267,4,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",86,Wet Dreamz,J. Cole,599388,"{'year': 2014, 'month': 12, 'day': 9}"
0.868,0.538,5,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,audio_features,2IGMVunIBsBLtEQyoI1Mu7,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,231750,4,"['dance pop', 'pop']",95,Paint The Town Red,Doja Cat,9028858,"{'year': 2023, 'month': 8, 'day': 4}"
0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,audio_features,7sO5G9EABYOXQKNPNiE9NR,spotify:track:7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,172800,4,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",87,Ric Flair Drip (with Metro Boomin),Offset,3296796,"{'year': 2017, 'month': 10, 'day': 31}"
0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,audio_features,1xK59OXxi2TAAAbmZK0kBL,spotify:track:1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/tracks/1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/audio-analysis/1xK59OXxi2TAAAbmZK0kBL,132631,4,"['bedroom pop', 'bedroom r&b']",91,Romantic Homicide,d4vd,8214933,"{'year': 2022, 'month': 7, 'day': 20}"
0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,audio_features,68Dni7IE4VyPkTOH9mRWHr,spotify:track:68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/tracks/68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr,292799,4,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",91,No Role Modelz,J. Cole,599427,"{'year': 2014, 'month': 12, 'day': 9}"
0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,audio_features,1zi7xx7UVEFkmKfv06H8x0,spotify:track:1zi7xx7UVEFkmKfv06H8x0,https://api.spotify.com/v1/tracks/1zi7xx7UVEFkmKfv06H8x0,https://api.spotify.com/v1/audio-analysis/1zi7xx7UVEFkmKfv06H8x0,173987,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",89,One Dance,Drake,2450584,"{'year': 2016, 'month': 4, 'day': 5}"
0.586,0.559,4,-6.725,1,0.05,0.639,0.0,0.0872,0.437,177.945,audio_features,69AIpwGNLxr4qS1X5ynx60,spotify:track:69AIpwGNLxr4qS1X5ynx60,https://api.spotify.com/v1/tracks/69AIpwGNLxr4qS1X5ynx60,https://api.spotify.com/v1/audio-analysis/69AIpwGNLxr4qS1X5ynx60,167480,4,"['contemporary country', 'country road']",83,Buy Dirt,Jordan Davis,6774548,"{'year': 2021, 'month': 5, 'day': 21}"
0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,audio_features,3F5CgOj3wFlRv51JsHbxhe,spotify:track:3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/tracks/3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/audio-analysis/3F5CgOj3wFlRv51JsHbxhe,218365,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",89,Jimmy Cooks (feat. 21 Savage),Drake,8112887,"{'year': 2022, 'month': 6, 'day': 17}"
0.626,0.547,4,-8.285,1,0.0342,0.0656,1.67e-05,0.149,0.192,109.946,audio_features,4NioO5R9sHEZh4cGzMHyNt,spotify:track:4NioO5R9sHEZh4cGzMHyNt,https://api.spotify.com/v1/tracks/4NioO5R9sHEZh4cGzMHyNt,https://api.spotify.com/v1/audio-analysis/4NioO5R9sHEZh4cGzMHyNt,279833,4,['pop'],88,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,9538405,"{'year': 2023, 'month': 10, 'day': 27}"
0.683,0.554,6,-7.487,0,0.05,0.379,0.00011,0.0845,0.452,85.455,audio_features,6DHPLbudo5JXNdUlG7zDcC,spotify:track:6DHPLbudo5JXNdUlG7zDcC,https://api.spotify.com/v1/tracks/6DHPLbudo5JXNdUlG7zDcC,https://api.spotify.com/v1/audio-analysis/6DHPLbudo5JXNdUlG7zDcC,181499,4,"['modern country pop', 'oklahoma country']",81,Please Don't Go,Wyatt Flores,8314743,"{'year': 2022, 'month': 4, 'day': 22}"
0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,audio_features,3cBsEDNhFI9E82vPj3kvi3,spotify:track:3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/tracks/3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/audio-analysis/3cBsEDNhFI9E82vPj3kvi3,178520,3,['contemporary country'],86,Wasted On You,Morgan Wallen,5635390,"{'year': 2021, 'month': 1, 'day': 8}"
0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,audio_features,2tznHmp70DxMyr2XhWLOW0,spotify:track:2tznHmp70DxMyr2XhWLOW0,https://api.spotify.com/v1/tracks/2tznHmp70DxMyr2XhWLOW0,https://api.spotify.com/v1/audio-analysis/2tznHmp70DxMyr2XhWLOW0,208760,4,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",81,Cigarette Daydreams,Cage The Elephant,282656,"{'year': 2013, 'month': 10, 'day': 8}"
0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,audio_features,2Hh3ETdQKrmSI3QS0hme7g,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/tracks/2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/audio-analysis/2Hh3ETdQKrmSI3QS0hme7g,199920,4,['rap'],89,Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,8601684,"{'year': 2022, 'month': 12, 'day': 2}"
0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,audio_features,59nOXPmaKlBfGMDeOVGrIK,spotify:track:59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/tracks/59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/audio-analysis/59nOXPmaKlBfGMDeOVGrIK,189893,4,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",86,WAIT FOR U (feat. Drake & Tems),Future,7972774,"{'year': 2022, 'month': 5, 'day': 5}"
0.669,0.634,11,-6.476,1,0.0327,0.0125,0.0,0.0946,0.496,124.906,audio_features,2XHzzp1j4IfTNp1FTn7YFg,spotify:track:2XHzzp1j4IfTNp1FTn7YFg,https://api.spotify.com/v1/tracks/2XHzzp1j4IfTNp1FTn7YFg,https://api.spotify.com/v1/audio-analysis/2XHzzp1j4IfTNp1FTn7YFg,255053,4,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",86,Love Me,Lil Wayne,105686,"{'year': 2013, 'month': 1, 'day': 18}"
0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,audio_features,285pBltuF7vW8TeWk8hdRR,spotify:track:285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,239836,4,"['chicago rap', 'melodic rap', 'rap']",86,Lucid Dreams,Juice WRLD,3359190,"{'year': 2017, 'month': 7, 'day': 1}"
